country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,12/03/2021,44938712.00,2098205,1719543,378662,179131,105801,4.64,3.8,0.84,2341,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,12/03/2021,25364307.00,135103,135103,,10103,9034,0.53,0.53,,354,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Azerbaijan,AZE,12/03/2021,10023318.00,443888,443888,,7039,11692,4.38,4.38,,1153,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,12/03/2021,1501635.00,522344,312119,210225,1915,3362,30.7,18.34,12.35,1976,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Belize,BLZ,12/03/2021,390353.00,7444,7444,,2511,921,1.87,1.87,,2316,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Belizehealth/photos/2642843812680684
Bolivia,BOL,12/03/2021,11513100.00,137150,127199,9951,4864,16720,1.17,1.09,0.09,1432,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,12/03/2021,212559417.00,11149530,8360366,2789164,408671,140053,5.25,3.93,1.31,659,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,12/03/2021,6975761.00,336660,279324,57336,12214,7457,4.85,4.02,0.83,1073,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,12/03/2021,16486542.00,147591,147591,,17683,12770,0.88,0.88,,764,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,12/03/2021,37589262.00,2830164,2239490,590674,110847,82141,7.5,5.93,1.57,2176,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
